juice5-399.wav|became the norm or they yeah and now|became the norm or they yeah and now
juice18-273.wav|so I feel like for the people that we're doing that cuz it was cool they got scared but for the people that has already addicted this is like yeah you yeah cool yeah it's like that's [ __ ]|so i feel like for the people that we're doing that cuz it was cool they got scared but for the people that has already addicted this is like yeah you yeah cool yeah it's like that's [ __ ]
juice5-141.wav|outside of my home plate because everything my mom was mother and father so when I got on we got on yeah you know hold your mom up yeah you know what I'm|outside of my home plate because everything my mom was mother and father so when i got on we got on yeah you know hold your mom up yeah you know what i'm
juice8-27.wav|me on the rap music so [ __ ] kind of they were and then in saying that I had were lit his [ __ ] so that was a good song rule 8 and I was drunk as [ __ ] on|me on the rap music so [ __ ] kind of they were and then in saying that i had were lit his [ __ ] so that was a good song rule eight and i was drunk as [ __ ] on
juice3-110.wav|limit like it's just it's like the like my family like Chicago so yeah no vanity|limit like it's just it's like the like my family like chicago so yeah no vanity
juice5-293.wav|this and that's what comes out you know so it wasn't really I wasn't like yeah all girls are safer like it was|this and that's what comes out you know so it wasn't really i wasn't like yeah all girls are safer like it was
juice14-60.wav|describe me it's more so like a anxious the next day I mean it was like as the yesterday went on as like like I went my homie was like yo do you know what|describe me it's more so like a anxious the next day i mean it was like as the yesterday went on as like like i went my homie was like yo do you know what
juice3-74.wav|even exist that naked kill that [ __ ] boy|even exist that naked kill that [ __ ] boy
juice16-150.wav|can't leave here without violin cello yeah the Mahr jealous so I'm gonna take this colorway this colorway this colorway and I'll take this one|can't leave here without violin cello yeah the mahr jealous so i'm gonna take this colorway this colorway this colorway and i'll take this one
juice23-2.wav|at a computer phone prop just like this you know group of people that was there listening to that music back in the day I'm saying back in the day like everyone|at a computer phone prop just like this you know group of people that was there listening to that music back in the day i'm saying back in the day like everyone
juice25-176.wav|still thank God for everything you know materialistic money stuff don't really mean nothing like you know my relationship is good I got money but there's still other issues to talk about other than heartbreak you got anxiety|still thank god for everything you know materialistic money stuff don't really mean nothing like you know my relationship is good i got money but there's still other issues to talk about other than heartbreak you got anxiety
juice18-84.wav|know purchasing it wasn't even in the pretty much he is sending like a drop box full of bees like each month Wow you want it was crazy don't cloud it's Inc yourself it gets a bad rap though|know purchasing it wasn't even in the pretty much he is sending like a drop box full of bees like each month wow you want it was crazy don't cloud it's inc yourself it gets a bad rap though
juice6-217.wav|people happy I like to like create bring people together and I think that's dropped it because it was how I was seen me like my plans you have to be looking because I'll be like I like|people happy i like to like create bring people together and i think that's dropped it because it was how i was seen me like my plans you have to be looking because i'll be like i like
juice6-160.wav|conservative but she's starting to see like she's starting to just let me be me all the time I play your songs for my friends at work and stuff like that it's biggest supporter for sure for sure I|conservative but she's starting to see like she's starting to just let me be me all the time i play your songs for my friends at work and stuff like that it's biggest supporter for sure for sure i
juice24-83.wav|TV yeah you got killed I think it was it was leaving a party or some [ __ ] like that [ __ ] created an outlet for everybody no matter what gang you were|tv yeah you got killed i think it was it was leaving a party or some [ __ ] like that [ __ ] created an outlet for everybody no matter what gang you were
juice25-136.wav|man performance and I think to myself I'm like wow all these kids are really is just teed up cuz of me you know the songs that they're singing on you know|man performance and i think to myself i'm like wow all these kids are really is just teed up cuz of me you know the songs that they're singing on you know
juice4-86.wav|yeah yeah yeah yeah yeah yeah yeah yeah|yeah yeah yeah yeah yeah yeah yeah yeah
juice28-24.wav|recording and when i'm performing my first tour and i just remember seeing the energy of the crowd it felt crazy you know be me a performance and i think to myself i'm like wow|recording and when i'm performing my first tour and i just remember seeing the energy of the crowd it felt crazy you know be me a performance and i think to myself i'm like wow
juice3-17.wav|it was good to swirl and of course you different but we have a good relationship with your parents you know for a fact that that person loves you be just as certain about you could be|it was good to swirl and of course you different but we have a good relationship with your parents you know for a fact that that person loves you be just as certain about you could be
juice7-318.wav|terrible I was going to language rose oh gosh I [ __ ] like I was in the bed not I got homies that I got home he's dead like a full poop no like a like like|terrible i was going to language rose oh gosh i [ __ ] like i was in the bed not i got homies that i got home he's dead like a full poop no like a like like
juice4-193.wav|[ __ ] you want my advice is you're not alone going through anything that she's|[ __ ] you want my advice is you're not alone going through anything that she's
juice24-73.wav|when I found out he passed and you say to yourself I was like damn bro like hey killing everybody it don't matter what matter if you were at any type of gang|when i found out he passed and you say to yourself i was like damn bro like hey killing everybody it don't matter what matter if you were at any type of gang
juice24-38.wav|an impact got it so like I'm pretty sure as hell the all the gun violence and [ __ ] and tell the people that's just the end of [ __ ] like yeah this is kind of recklessness|an impact got it so like i'm pretty sure as hell the all the gun violence and [ __ ] and tell the people that's just the end of [ __ ] like yeah this is kind of recklessness
juice6-134.wav|at a sit on a couch in every $10 or $5 they get is going to the next you know like gram or 0.5 whatever the [ __ ] so out cuz I didn't know the fine line|at a sit on a couch in every ten dollars or five dollars they get is going to the next you know like gram or zero point five whatever the [ __ ] so out cuz i didn't know the fine line
juice24-88.wav|in no matter what side of town and they got him yeah yeah no type of like non-stop why is it work over sleep it's favorite see he was trying to create an|in no matter what side of town and they got him yeah yeah no type of like non-stop why is it work over sleep it's favorite see he was trying to create an
juice7-245.wav|some people could drink casually sip sipped casually is identical to what drunk yeah but you have those people like for the example nothing weighing I|some people could drink casually sip sipped casually is identical to what drunk yeah but you have those people like for the example nothing weighing i
juice14-28.wav|DC before we start I want to say something yo so back before I had a name for anything but I used to watch our|dc before we start i want to say something yo so back before i had a name for anything but i used to watch our
juice18-98.wav|like one low key like a lot of people with bad sound quote-unquote soundcloud yeah and sugar ranch well shout out yeah cool they're really comfortable nice|like one low key like a lot of people with bad sound quote-unquote soundcloud yeah and sugar ranch well shout out yeah cool they're really comfortable nice
juice14-32.wav|was an alternative school so like a brother I was and I turned in school so like I had nothing to do all day but you sit in classroom like so I was just me on YouTube when I used to watch like the|was an alternative school so like a brother i was and i turned in school so like i had nothing to do all day but you sit in classroom like so i was just me on youtube when i used to watch like the
juice9-147.wav|people and I'm looking at me as he went looking a so like buying a lotto I'm not say it what is y'all needs a better place called duck and waffle he'll know|people and i'm looking at me as he went looking a so like buying a lotto i'm not say it what is y'all needs a better place called duck and waffle he'll know
juice15-14.wav|just keep pushing for like all this is even like reality has not set in yet like it's all just surreal like I'm just|just keep pushing for like all this is even like reality has not set in yet like it's all just surreal like i'm just
juice28-40.wav|in my conscience in my head to tell me not to do that going through some music not only is something that kind of helps the situation pass i also make music talking about certain subjects|in my conscience in my head to tell me not to do that going through some music not only is something that kind of helps the situation pass i also make music talking about certain subjects
juice25-131.wav|every show to me it's just a blast what you meant to your fans on my first tour and I just remember seeing the|every show to me it's just a blast what you meant to your fans on my first tour and i just remember seeing the
juice18-50.wav|I'll go to all the beasts that I had and then like I just sit and just write you depending on how many hours I had I had do like three songs in two hours and|i'll go to all the beasts that i had and then like i just sit and just write you depending on how many hours i had i had do like three songs in two hours and
juice5-232.wav|it's just incredible overwhelming mm-hmm myself or anything so you're not looking it's some things that major labels can|it's just incredible overwhelming mm-hmm myself or anything so you're not looking it's some things that major labels can
juice7-62.wav|like rock music and [ __ ] like that I was young - [ __ ] bow I had to be at least like I don't know but I was young like I remember uh I got in trouble for|like rock music and [ __ ] like that i was young - [ __ ] bow i had to be at least like i don't know but i was young like i remember uh i got in trouble for
juice13-85.wav|mmm if I had the resources to get high everything I'm saying think about how especially you discovering something new you want as much as that as possible as all this [ __ ] got you feel like you know|mmm if i had the resources to get high everything i'm saying think about how especially you discovering something new you want as much as that as possible as all this [ __ ] got you feel like you know
juice16-158.wav|not really a fan of the bubbles not being in place but you got bust like whole [ __ ] was slip ons yeah yeah yeah some Gucci assemblers have [ __ ] like you can't bless the wraps on regular size|not really a fan of the bubbles not being in place but you got bust like whole [ __ ] was slip ons yeah yeah yeah some gucci assemblers have [ __ ] like you can't bless the wraps on regular size
juice6-146.wav|a it's a balance to the [ __ ] pretty much I mean she's like I'm the one the proudest people have her like I get that a lot people in my DMS all|a it's a balance to the [ __ ] pretty much i mean she's like i'm the one the proudest people have her like i get that a lot people in my dms all
juice1-177.wav|talking about this my home yesterday Chicago got like no I landed got a wave you know I'm saying like thug and everybody like Atlanta got away if people don't think about it like this|talking about this my home yesterday chicago got like no i landed got a wave you know i'm saying like thug and everybody like atlanta got away if people don't think about it like this
juice15-46.wav|I know in mine but I wouldn't I'm hoping professionally done man thank you I got|i know in mine but i wouldn't i'm hoping professionally done man thank you i got
juice1-122.wav|of time in between light so pretty much that man over there g-money that's the person that discovered me and really blew me up to the label that's the CEO time period before me and him started going to different labels it was like|of time in between light so pretty much that man over there g-money that's the person that discovered me and really blew me up to the label that's the ceo time period before me and him started going to different labels it was like
juice4-122.wav|and a girl is like house you could like she's horrible for you she's toxic she is the gatekeeper to that abyss that should end you have to get out of that|and a girl is like house you could like she's horrible for you she's toxic she is the gatekeeper to that abyss that should end you have to get out of that
juice1-764.wav|that's like a issue I mean a lot of I got homies that that you know they come they come to me not saying anything they got anxiety but I know back in the|that's like a issue i mean a lot of i got homies that that you know they come they come to me not saying anything they got anxiety but i know back in the
juice6-323.wav|Green Day and then I switched completely hydrate and then I think it was some Foo Fighters [ __ ] and I'm the last one was|green day and then i switched completely hydrate and then i think it was some foo fighters [ __ ] and i'm the last one was
juice5-253.wav|a living off like my passion well we're|a living off like my passion well we're
juice16-137.wav|kind of changed from then to now well we better let's do it to see well Marge who started uh these are fives I'm gonna|kind of changed from then to now well we better let's do it to see well marge who started uh these are fives i'm gonna
juice5-379.wav|and you black out at random times and you come back at random I like it here am i with this person why|and you black out at random times and you come back at random i like it here am i with this person why
juice18-311.wav|right now he probably forgot he added only so smooth with the shitty man well vibe which are man it's a blessing for|right now he probably forgot he added only so smooth with the shitty man well vibe which are man it's a blessing for
juice5-382.wav|am I in jail like what made you kind of step away from it they're saying like|am i in jail like what made you kind of step away from it they're saying like
juice8-165.wav|video coming strong look forward to that it's gonna be late and Tokyo pretty much don't know why I'm the ones I was [ __ ] with recently home is boring it's fun|video coming strong look forward to that it's gonna be late and tokyo pretty much don't know why i'm the ones i was [ __ ] with recently home is boring it's fun
juice28-51.wav|for everything that you know he's put in materialistic money stuff don't really mean nothing like there's still other issues to talk about after that substance abuse you got you know there's a lot of issues in the world to talk|for everything that you know he's put in materialistic money stuff don't really mean nothing like there's still other issues to talk about after that substance abuse you got you know there's a lot of issues in the world to talk
juice1-26.wav|obviously I liked it enough to put it on used to play sports and [ __ ] pseudo so I had to work hella hella hard to be good cool that team shouldn't really work out first base in the field I was fine|obviously i liked it enough to put it on used to play sports and [ __ ] pseudo so i had to work hella hella hard to be good cool that team shouldn't really work out first base in the field i was fine
juice6-11.wav|relationship [ __ ] and I was to a point from the stop taking this seriously like it was gonna be like a hobby instead of a passion you know cuz I mean or not if they're not seeing results they're gonna start doubting themselves|relationship [ __ ] and i was to a point from the stop taking this seriously like it was gonna be like a hobby instead of a passion you know cuz i mean or not if they're not seeing results they're gonna start doubting themselves
juice14-98.wav|when stuff got tough and like I couldn't fan we got juice were so impressed he it's a really surreal feeling you know I mean I just take it as a blessing and|when stuff got tough and like i couldn't fan we got juice were so impressed he it's a really surreal feeling you know i mean i just take it as a blessing and
juice14-124.wav|still see yeah yeah anyway Michael Jackson again that's all we're saying Michael Kurt Cobain for Show for show|still see yeah yeah anyway michael jackson again that's all we're saying michael kurt cobain for show for show
juice16-154.wav|why not I like it bro how did I forget the east of course I need them I need this and this one um I'll take these as well even though I'm|why not i like it bro how did i forget the east of course i need them i need this and this one um i'll take these as well even though i'm
juice6-367.wav|the name wrong I go back to the crib I'm like ah future some whole different [ __ ] from future and I end up liking that try not to dwell on it as much because I [ __ ] anyways I ain't no [ __ ] with|the name wrong i go back to the crib i'm like ah future some whole different [ __ ] from future and i end up liking that try not to dwell on it as much because i [ __ ] anyways i ain't no [ __ ] with
juice6-388.wav|my family and all my close ones are to let myself get overwhelmed and just that's that success in my eyes ten years|my family and all my close ones are to let myself get overwhelmed and just that's that success in my eyes ten years
juice11-137.wav|clothes facts one for your shoes and all up in my head and then I'm hitting just like and like I couldn't learn that way so just in case I thought they knew|clothes facts one for your shoes and all up in my head and then i'm hitting just like and like i couldn't learn that way so just in case i thought they knew
juice24-149.wav|like y'all like it's like this though long oh yeah um when you are high school for like most [ __ ] do not|like y'all like it's like this though long oh yeah um when you are high school for like most [ __ ] do not
juice3-79.wav|about school or homework really anything no hose in her soul oh oh darkening else besides music you know like just|about school or homework really anything no hose in her soul oh oh darkening else besides music you know like just
juice4-25.wav|off of Rick and Morty yeah I like a lot this was late on that way Rick and Morty|off of rick and morty yeah i like a lot this was late on that way rick and morty
juice1-668.wav|yeah sure I mean that's that's what I've just comes with the evolution of man learned just from and I just got here I'm a year in this game I've learned that so far this is just the beginning|yeah sure i mean that's that's what i've just comes with the evolution of man learned just from and i just got here i'm a year in this game i've learned that so far this is just the beginning
juice1-111.wav|like it felt the most home I'm saying was best for me and so we you know we were we went to a few labels a couple yeah had a couple meetings and [ __ ]|like it felt the most home i'm saying was best for me and so we you know we were we went to a few labels a couple yeah had a couple meetings and [ __ ]
juice7-150.wav|like four hours probably we have like need at least like 10 man I wish I could the time I had a burger yesterday for the first time and probably like Oh like|like four hours probably we have like need at least like ten man i wish i could the time i had a burger yesterday for the first time and probably like oh like
juice20-250.wav|you there thank you|you there thank you
juice21-7.wav|own hair um I got I'm sorry tatted on me|own hair um i got i'm sorry tatted on me
juice21-29.wav|this I got I love all on my story that's|this i got i love all on my story that's
juice7-46.wav|don't care so I stopped talking to her I was supposed to actually link with her and [ __ ] but I'll stop talking to her|don't care so i stopped talking to her i was supposed to actually link with her and [ __ ] but i'll stop talking to her
juice21-24.wav|this is never leave my brothers no limit like it's just it's like the like my|this is never leave my brothers no limit like it's just it's like the like my
juice28-15.wav|all human beings we all on the same achieve anything if not more than what and that's facts it always feels good to come back home and feel the love and spread love it's one of the best i enjoy myself the most is when i'm|all human beings we all on the same achieve anything if not more than what and that's facts it always feels good to come back home and feel the love and spread love it's one of the best i enjoy myself the most is when i'm
juice21-15.wav|people think this cross means like I guess people that are anti that are strong and like being like Nancy Christian or whatever you're using this|people think this cross means like i guess people that are anti that are strong and like being like nancy christian or whatever you're using this
juice16-33.wav|like they differ sway and I wasn't that wasn't afraid to be different I'll [ __ ] with it and that's kind of what encouraged me to create my own know my label it's a blessing rose|like they differ sway and i wasn't that wasn't afraid to be different i'll [ __ ] with it and that's kind of what encouraged me to create my own know my label it's a blessing rose
juice24-104.wav|has literally no type of resources income is very scarce wealth is very scarce and it's poverty and you just|has literally no type of resources income is very scarce wealth is very scarce and it's poverty and you just
juice14-175.wav|this has been my god a girl band yeah they make the song call out here the|this has been my god a girl band yeah they make the song call out here the
juice3-91.wav|hair um I got I'm sorry tatted only um|hair um i got i'm sorry tatted only um
juice6-287.wav|it was the studio in VR entertainment I think Entertainment hang like Country Club Hills the main the owner of there|it was the studio in vr entertainment i think entertainment hang like country club hills the main the owner of there
juice8-179.wav|down and move somewhere here but I'm Black Veil Brides Senses Fail Bullet For gonna point in my life now I want to so at the moment nah but your soul|down and move somewhere here but i'm black veil brides senses fail bullet for gonna point in my life now i want to so at the moment nah but your soul
juice16-72.wav|it's really not the high top version know the model that the big old flap goes in front of the front yeah yeah so like back when ASAP Rocky was making he|it's really not the high top version know the model that the big old flap goes in front of the front yeah yeah so like back when asap rocky was making he
juice8-260.wav|that's the point of freestyling nowadays you can't really pre-plan your feelings so like I just whatever I'm feeling the day I go to the studios where I make like what's on my mind where I want to|that's the point of freestyling nowadays you can't really pre-plan your feelings so like i just whatever i'm feeling the day i go to the studios where i make like what's on my mind where i want to
juice22-130.wav|something like paranormal you know you know when I was practicing like lucid dreaming now I have sleep paralysis a and um when you have sleep paralysis|something like paranormal you know you know when i was practicing like lucid dreaming now i have sleep paralysis a and um when you have sleep paralysis
juice1-94.wav|went through the same thing and I may do in this situation cuz I'm going through this so like it all depends sometimes I just leave it in the music though and not when I release it it be|went through the same thing and i may do in this situation cuz i'm going through this so like it all depends sometimes i just leave it in the music though and not when i release it it be
juice8-21.wav|born and [ __ ] like and even like [ __ ] not all of them them that's like a bias song I was in the mindset that [ __ ] it wasn't [ __ ] like and that's that's I think that's what's unique about my|born and [ __ ] like and even like [ __ ] not all of them them that's like a bias song i was in the mindset that [ __ ] it wasn't [ __ ] like and that's that's i think that's what's unique about my
juice6-357.wav|like very is beautiful so I will [ __ ] that's another big influence bro future is so [ __ ] hard I listen the future future and they were like [ __ ] you mean hot future and I'm like maybe I'm saying|like very is beautiful so i will [ __ ] that's another big influence bro future is so [ __ ] hard i listen the future future and they were like [ __ ] you mean hot future and i'm like maybe i'm saying
juice1-828.wav|like the whole concept of I don't know taking care of a responsibility it's not me is this fine is this going it's fine I feel like some bad therapists probably|like the whole concept of i don't know taking care of a responsibility it's not me is this fine is this going it's fine i feel like some bad therapists probably
juice1-506.wav|amount of energy ain't gonna [ __ ] with blowing [ __ ] out of proportion and [ __ ] when it was like two three shows max if sure sure that's the homie so like that tore that [ __ ] was [ __ ] was fun but the|amount of energy ain't gonna [ __ ] with blowing [ __ ] out of proportion and [ __ ] when it was like two three shows max if sure sure that's the homie so like that tore that [ __ ] was [ __ ] was fun but the
juice3-123.wav|999 set up on that's not done right here that's helpful but I actually like the way it is cause of the like it been through some hair but I still there so I|nine hundred ninety-nine set up on that's not done right here that's helpful but i actually like the way it is cause of the like it been through some hair but i still there so i
juice5-329.wav|and that was that's what was gonna kind know what's the dress with platinum of lead into a friendship it's two|and that was that's what was gonna kind know what's the dress with platinum of lead into a friendship it's two
juice3-197.wav|knowing you would think I'm the same way you would think you're you look for answers that you know you can like|knowing you would think i'm the same way you would think you're you look for answers that you know you can like
juice8-113.wav|me and the homies was doing that [ __ ] before it was cool like before future was rapping about it before he was saying like before [ __ ] was a trend we was doing that [ __ ] cuz I think that was|me and the homies was doing that [ __ ] before it was cool like before future was rapping about it before he was saying like before [ __ ] was a trend we was doing that [ __ ] cuz i think that was
juice18-118.wav|it what you think what you think you need to take from me honestly I don't want to limit that song to a particular|it what you think what you think you need to take from me honestly i don't want to limit that song to a particular
juice16-12.wav|but uh looking at the selection I had [ __ ] it I've seen this and I'm like wow there's kind of just reminding me of that so how could I not know one thing I definitely I remember when I couldn't|but uh looking at the selection i had [ __ ] it i've seen this and i'm like wow there's kind of just reminding me of that so how could i not know one thing i definitely i remember when i couldn't
juice24-91.wav|outlet for the city and if you can't respect that and value somebody like window respect been out the window um|outlet for the city and if you can't respect that and value somebody like window respect been out the window um
juice3-148.wav|know what it feels like but it's nothing film was just like I use the best words that we can - you know I'm saying to|know what it feels like but it's nothing film was just like i use the best words that we can - you know i'm saying to
juice16-133.wav|to do like this notice I don't feel like what I thought I mean I still like to shop and you know treat myself regardless but it's funny how my mindset|to do like this notice i don't feel like what i thought i mean i still like to shop and you know treat myself regardless but it's funny how my mindset
juice18-168.wav|exactly sorry other [ __ ] yeah all the a minimum or the second minimum one was me ask you if you ever had this before have you ever been like laying down|exactly sorry other [ __ ] yeah all the a minimum or the second minimum one was me ask you if you ever had this before have you ever been like laying down
juice4-151.wav|gatekeeper do you want um thanks no cat no time Tony but it always you heal a|gatekeeper do you want um thanks no cat no time tony but it always you heal a
juice24-95.wav|it's just people are starting to become more and more like it's not just the people that are doing is not they fought I mean it is they fought but it's just|it's just people are starting to become more and more like it's not just the people that are doing is not they fought i mean it is they fought but it's just
juice17-62.wav|And me speaking from... an African-American man, I know that this stuff is neglected. Like our community. You know, you tell your Mommy, or Daddy,|and me speaking from... an african-american man, i know that this stuff is neglected. like our community. you know, you tell your mommy, or daddy,
juice23-26.wav|stress that and express that enough y'all help me through the [ __ ] I'll go through I deal with anxiety and depression and all that [ __ ] just cuz|stress that and express that enough y'all help me through the [ __ ] i'll go through i deal with anxiety and depression and all that [ __ ] just cuz
juice5-384.wav|the way I felt no one place in the world know what I'm saying like why you have going on your face at the moment yeah I|the way i felt no one place in the world know what i'm saying like why you have going on your face at the moment yeah i
juice18-244.wav|not as easy as saying it's not cool anymore and hopping off of it because at this point you're addicted you know I'm saying so it's just like damn let me work towards|not as easy as saying it's not cool anymore and hopping off of it because at this point you're addicted you know i'm saying so it's just like damn let me work towards
juice21-35.wav|this didn't not do it anywhere I'll call somebody this was how I was tells him|this didn't not do it anywhere i'll call somebody this was how i was tells him
juice4-146.wav|really speaking from mistake has a lot yeah it's like that [ __ ] he okay keep crap game of this and Drake is the|really speaking from mistake has a lot yeah it's like that [ __ ] he okay keep crap game of this and drake is the
juice5-118.wav|uh a lot of basketball players and stuff still love it really though 14 I don't|uh a lot of basketball players and stuff still love it really though fourteen i don't
juice6-150.wav|cheerleader since birth so I love her to give her the world that's part of the reason why I'm doing this [ __ ] contributor it's just my success and nice school to go to and food on my|cheerleader since birth so i love her to give her the world that's part of the reason why i'm doing this [ __ ] contributor it's just my success and nice school to go to and food on my
juice15-32.wav|collaborations will probably be I got Idol Tyler the Creator|collaborations will probably be i got idol tyler the creator
juice1-459.wav|like they not the ones writing my raps [ __ ] like if you really if you 100% a I'm you know I'm saying I'm the one I'm the creative genius behind everything that I got going on so like I don't|like they not the ones writing my raps [ __ ] like if you really if you one hundred% a i'm you know i'm saying i'm the one i'm the creative genius behind everything that i got going on so like i don't
juice5-241.wav|do that she's gotta make sure you have a good deal I don't think there's anything|do that she's gotta make sure you have a good deal i don't think there's anything
juice6-61.wav|[ __ ] with that heavy duck I'm so light to reach out to more people me FK I felt one like my dream producers to locking name his tag I'm like a post song and only negative feel that way so I made|[ __ ] with that heavy duck i'm so light to reach out to more people me fk i felt one like my dream producers to locking name his tag i'm like a post song and only negative feel that way so i made
juice24-99.wav|only one person in the fault of you know it's okay to express the way you feel before about life how do you deal with potential I mean through our life is always gonna be a lot of discouraging|only one person in the fault of you know it's okay to express the way you feel before about life how do you deal with potential i mean through our life is always gonna be a lot of discouraging
juice16-21.wav|my first real boy than like super you everything that was different so like Tyler [ __ ] ASAP Rocky she's just Wayne she's everybody had kinda|my first real boy than like super you everything that was different so like tyler [ __ ] asap rocky she's just wayne she's everybody had kinda
juice6-213.wav|that's why I took the label route but yeah at the end of the day I like to make people happy you know like I like to I like to spread joy I like to make|that's why i took the label route but yeah at the end of the day i like to make people happy you know like i like to i like to spread joy i like to make
juice6-328.wav|dying is your latest fashion that's my [ __ ] I stood up in a bump that I thought studio and I go from that to like|dying is your latest fashion that's my [ __ ] i stood up in a bump that i thought studio and i go from that to like
juice1-575.wav|over yeah but not even though no flirt sound hard keep up the good work I know it was really hard wasn't no catfish sense or some god bless him with that I things|over yeah but not even though no flirt sound hard keep up the good work i know it was really hard wasn't no catfish sense or some god bless him with that i things
juice8-119.wav|like my first streak of being different been like single-parent type [ __ ] everybody was smoking weed they just look at us like we were like crackheads phone asking me what is the funny part|like my first streak of being different been like single-parent type [ __ ] everybody was smoking weed they just look at us like we were like crackheads phone asking me what is the funny part
juice6-303.wav|I wasn't like completely confident but I wasn't nervous it's almost as if I like blacked out and then I came back when the performance was over with like it was just like adrenaline pumping and not|i wasn't like completely confident but i wasn't nervous it's almost as if i like blacked out and then i came back when the performance was over with like it was just like adrenaline pumping and not
juice5-487.wav|MC juice so you you understand not not supposed to be doing yeah I kind of had|mc juice so you you understand not not supposed to be doing yeah i kind of had
juice6-224.wav|know I'm not necessarily the most joyful person in the world but that's one thing that does make me happy making music especially that other people could relate to and that makes them see that makes them happy it's like good energy|know i'm not necessarily the most joyful person in the world but that's one thing that does make me happy making music especially that other people could relate to and that makes them see that makes them happy it's like good energy
juice16-146.wav|yeah I'm gonna get these can't go wrong okay [ __ ] with them I see oh yeah of course I the ones with no shoe strings and the|yeah i'm gonna get these can't go wrong okay [ __ ] with them i see oh yeah of course i the ones with no shoe strings and the
juice20-86.wav|was like one of the only people wearing before it was before it was like a big collabs with like louis v and stuff like like all of it|was like one of the only people wearing before it was before it was like a big collabs with like louis v and stuff like like all of it
juice8-108.wav|boundaries between that and just abusing how that went my mom was pretty much the main one was NX I used to [ __ ] with parks have YouTube but it was an X that was that was we did it but it's like we|boundaries between that and just abusing how that went my mom was pretty much the main one was nx i used to [ __ ] with parks have youtube but it was an x that was that was we did it but it's like we
juice22-136.wav|is kind of this is what kind of like like Oh scientist how come everybody sees the same person usually people will see like a old lady sitting on their Rises oh hang and I'll show you|is kind of this is what kind of like like oh scientist how come everybody sees the same person usually people will see like a old lady sitting on their rises oh hang and i'll show you
juice20-97.wav|i really like the v long air force ones pretty much damn I do got a lot of|i really like the v long air force ones pretty much damn i do got a lot of
juice4-109.wav|yeah it's like this big much reality much reality listen I want to get your reaction on camera guess what they asked perfect example of a bishop somebody|yeah it's like this big much reality much reality listen i want to get your reaction on camera guess what they asked perfect example of a bishop somebody
juice8-126.wav|yeah that's that necks is pretty much the man should I used to [ __ ] with him it's always that one point I think I had it was crazy cuz and in like fifth grade|yeah that's that necks is pretty much the man should i used to [ __ ] with him it's always that one point i think i had it was crazy cuz and in like fifth grade
juice1-558.wav|getting peaceful from the greasiest [ __ ] wanna he out there and he'd be drinking take care of my teeth I take it like everything except my diet I'm straight just on some I'll eventually we just|getting peaceful from the greasiest [ __ ] wanna he out there and he'd be drinking take care of my teeth i take it like everything except my diet i'm straight just on some i'll eventually we just
juice1-308.wav|something cuz that one's that like fifth that [ __ ] made me feel knew it wasn't social person ever i'll be cracking jokes you know i'm saying i can like a in fifth grade I'm not supposed to be like 15 minutes passed and|something cuz that one's that like fifth that [ __ ] made me feel knew it wasn't social person ever i'll be cracking jokes you know i'm saying i can like a in fifth grade i'm not supposed to be like fifteen minutes passed and
juice1-778.wav|that's kind of just sitting there and people damn they're afraid to talk about mean think about it like technically it in all type of [ __ ] but I feel like I speak on [ __ ] like that and and create|that's kind of just sitting there and people damn they're afraid to talk about mean think about it like technically it in all type of [ __ ] but i feel like i speak on [ __ ] like that and and create
juice5-375.wav|though cos ends you can't do nothing I was you can't after a while whatever comes that becomes your sober like you could function but you're not yourself|though cos ends you can't do nothing i was you can't after a while whatever comes that becomes your sober like you could function but you're not yourself
juice1-243.wav|rocking you rocking you I ain't gonna lie it really started because my mom was she used to be super strict when I was like a look hit on the music I listen to|rocking you rocking you i ain't gonna lie it really started because my mom was she used to be super strict when i was like a look hit on the music i listen to
juice4-87.wav|yeah if you mess with the banknotes|yeah if you mess with the banknotes
juice18-218.wav|flip is 666 and by nine nine represents taking whatever hell whatever negative situation you're in and turning it into something positive|flip is six hundred sixty-six and by nine nine represents taking whatever hell whatever negative situation you're in and turning it into something positive
juice24-162.wav|but it's rare but some people do end up marrying somebody they met a nice class tinder Maji yeah like that statement is|but it's rare but some people do end up marrying somebody they met a nice class tinder maji yeah like that statement is
juice3-114.wav|all my story that's on this yeah so yeah|all my story that's on this yeah so yeah
juice17-3.wav|- Hey guys, what's up? from one of the songs on the project, and the Rider, Twisted Metal was one of my favorite games coming up. - It's like a Death Race game, and I thought I'll|- hey guys, what's up? from one of the songs on the project, and the rider, twisted metal was one of my favorite games coming up. - it's like a death race game, and i thought i'll
juice5-347.wav|continue to carry with ya and the artwork is the first conversation we have that man when you when you hear really somebody tell me I'll take a|continue to carry with ya and the artwork is the first conversation we have that man when you when you hear really somebody tell me i'll take a
juice14-37.wav|the commentary videos like all the music my day so much easier like just watching y'all stuff so yeah it's cool to be here it means something sent me so you're|the commentary videos like all the music my day so much easier like just watching y'all stuff so yeah it's cool to be here it means something sent me so you're
juice1-783.wav|awareness and change it like that but I feel like it only do it when the time is right you shouldn't be you shouldn't feel obligated to do something cuz that's not doing it off the strength of your heart it's doing it because you|awareness and change it like that but i feel like it only do it when the time is right you shouldn't be you shouldn't feel obligated to do something cuz that's not doing it off the strength of your heart it's doing it because you
